epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,1437.67,0.94815,0.40962,0.16113,0.64607,1.05009,0.99152,0.80976,0.90117,0.69673,0.9587,0.90593,0.94645,0.91027,0.94108,0.40322,0.05375,0.53065,0.98339,0.00179408,0.00179408,0.00179408
54,1452.59,0.95053,0.46132,0.1557,0.64712,1.05798,0.96075,0.86829,0.91306,0.68818,0.98275,0.8878,0.95305,0.91236,0.97569,0.46064,0.05704,0.5326,0.99606,0.00179012,0.00179012,0.00179012
55,1467.73,0.94741,0.45387,0.15734,0.6499,1.05403,0.994,0.81951,0.89072,0.65941,0.96799,0.88514,0.94153,0.90647,1.05504,0.45847,0.05048,0.55316,1.03618,0.00178616,0.00178616,0.00178616
56,1482.86,0.94974,0.44868,0.15321,0.6337,1.0597,0.95026,0.8439,0.90595,0.69386,0.95837,0.92195,0.9473,0.90247,0.90319,0.47739,0.049,0.50278,0.98317,0.0017822,0.0017822,0.0017822
57,1497.94,0.94603,0.42961,0.15035,0.63589,1.0498,0.97719,0.83602,0.90228,0.68477,0.9729,0.87559,0.94374,0.9051,0.96535,0.42254,0.05817,0.53446,0.9827,0.00177824,0.00177824,0.00177824
58,1512.85,0.93868,0.412,0.1536,0.64085,1.05466,0.97057,0.80976,0.89785,0.69803,0.97425,0.9122,0.95166,0.90204,0.93024,0.50578,0.04854,0.52664,1.01859,0.00177428,0.00177428,0.00177428
59,1527.88,0.95529,0.4501,0.14814,0.65781,1.05246,0.91003,0.83876,0.88908,0.67101,0.97798,0.9122,0.94822,0.91107,1.02542,0.42895,0.05842,0.53885,1.00185,0.00177032,0.00177032,0.00177032
60,1543.14,0.95378,0.45093,0.1515,0.64289,1.05885,0.95593,0.84647,0.90437,0.71412,0.95248,0.89268,0.94552,0.91129,0.87716,0.44141,0.06476,0.51923,0.98002,0.00176636,0.00176636,0.00176636
61,1558.69,0.95864,0.44557,0.15538,0.66908,1.05907,0.96112,0.86829,0.91402,0.70271,0.98875,0.89268,0.94782,0.92089,0.9624,0.40323,0.05509,0.51312,1.01599,0.0017624,0.0017624,0.0017624
62,1574,0.91525,0.3982,0.15408,0.61712,1.03107,0.93128,0.85932,0.9116,0.72818,0.95715,0.88293,0.94237,0.90542,0.82791,0.47669,0.04882,0.49452,0.9662,0.00175844,0.00175844,0.00175844
