epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1292.88,0.80773,0.28442,0.09719,0.54448,0.97152,0.95556,0.83905,0.90935,0.76961,0.96418,0.91909,0.95625,0.92799,0.7092,0.32326,0.05034,0.44123,0.90382,0.0015941,0.0015941,0.0015941
43,1307.6,0.77917,0.27387,0.08766,0.51856,0.96837,0.97107,0.85366,0.90968,0.77794,0.97904,0.91157,0.95139,0.9298,0.68105,0.32042,0.05088,0.42772,0.89649,0.0015842,0.0015842,0.0015842
44,1322.25,0.79561,0.30637,0.09175,0.53944,0.98381,0.95311,0.85366,0.90809,0.7537,0.98438,0.92212,0.95166,0.9209,0.73435,0.33,0.03856,0.43859,0.90506,0.0015743,0.0015743,0.0015743
45,1336.59,0.80429,0.30938,0.09484,0.54402,0.97837,0.9514,0.85938,0.91183,0.77512,0.99469,0.91345,0.95061,0.92565,0.65072,0.3211,0.04677,0.41632,0.88243,0.0015644,0.0015644,0.0015644
46,1350.9,0.80319,0.29029,0.08309,0.54849,0.98343,0.97171,0.83766,0.91501,0.7643,0.97353,0.8878,0.94748,0.92473,0.68326,0.32348,0.04706,0.43838,0.89995,0.0015545,0.0015545,0.0015545
47,1365.23,0.76637,0.27677,0.07959,0.52321,0.9643,0.9608,0.83698,0.90808,0.76406,0.98279,0.91707,0.95562,0.92895,0.70527,0.30426,0.04961,0.43849,0.89706,0.0015446,0.0015446,0.0015446
48,1379.33,0.77656,0.27094,0.08618,0.53155,0.96164,0.96817,0.8439,0.91266,0.76624,0.97214,0.92195,0.95177,0.92319,0.68123,0.36675,0.05411,0.41728,0.89107,0.0015347,0.0015347,0.0015347
49,1393.86,0.78514,0.29004,0.08723,0.52274,0.96846,0.96684,0.85337,0.91157,0.75551,0.97439,0.92787,0.96031,0.93018,0.70077,0.35254,0.05407,0.42947,0.90331,0.0015248,0.0015248,0.0015248
50,1407.56,0.79029,0.29397,0.0929,0.52362,0.97093,0.93621,0.87317,0.91156,0.77474,0.9727,0.92683,0.94969,0.92143,0.63897,0.33082,0.05916,0.43059,0.89405,0.0015149,0.0015149,0.0015149
51,1420.83,0.77621,0.29738,0.09437,0.52538,0.96858,0.95806,0.86341,0.91817,0.76577,0.98434,0.91962,0.95866,0.92234,0.69417,0.30817,0.06153,0.4394,0.90196,0.001505,0.001505,0.001505
