epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,201.321,1.04185,1.05315,0.54086,0.69277,1.03026,0.83255,0.88799,0.84871,0.49103,0.86602,0.92356,0.90175,0.65405,1.50096,1.55123,0.39023,0.88264,1.21773,0.0012674,0.0012674,0.0012674
39,205.448,0.99638,1.10865,0.4916,0.69139,0.9947,0.83273,0.88909,0.85187,0.48501,0.89959,0.96009,0.94563,0.69263,1.60211,1.55896,0.39057,0.91568,1.27169,0.0012476,0.0012476,0.0012476
40,209.834,1.02545,0.95328,0.52215,0.67319,1.00997,0.88552,0.82903,0.87573,0.49003,0.92318,0.85849,0.94288,0.72681,1.64527,1.47088,0.3788,0.95915,1.33505,0.0012278,0.0012278,0.0012278
41,213.896,0.99201,1.17949,0.55619,0.65412,1.03268,0.95805,0.81575,0.89512,0.53686,0.91085,0.92857,0.96428,0.77697,1.56576,1.40285,0.36248,0.88129,1.29999,0.001208,0.001208,0.001208
42,217.282,1.08936,1.21797,0.48482,0.82305,1.08001,0.95779,0.81079,0.89383,0.55933,0.92663,0.85714,0.96645,0.78583,1.48672,1.45907,0.35779,0.801,1.27037,0.0011882,0.0011882,0.0011882
43,222.102,1.14456,1.35681,0.52274,0.70526,1.03322,0.95971,0.851,0.90133,0.55185,0.94819,0.85714,0.94043,0.74683,1.62826,1.51524,0.35372,0.83225,1.34436,0.0011684,0.0011684,0.0011684
44,227.514,0.98624,0.90009,0.51461,0.61768,1.02023,0.95966,0.84989,0.90455,0.53348,0.95997,0.85655,0.96879,0.75414,1.74401,1.4935,0.3549,0.85948,1.40287,0.0011486,0.0011486,0.0011486
45,232.034,1.13333,1.14392,0.58026,0.69993,1.07848,0.91676,0.78671,0.89711,0.5755,0.90674,0.89286,0.97098,0.77673,1.55587,1.38078,0.35452,0.7908,1.30461,0.0011288,0.0011288,0.0011288
46,236.329,1.0103,1.11255,0.53253,0.65559,1.0093,0.91868,0.80732,0.9003,0.62021,0.86961,1,0.97738,0.85277,1.32782,1.2568,0.35123,0.75086,1.18192,0.001109,0.001109,0.001109
47,239.578,1.06041,1.13845,0.55405,0.71762,1.08314,0.89512,0.82143,0.89781,0.61062,0.93049,0.89286,0.97738,0.86965,1.35113,1.22508,0.34873,0.75019,1.19216,0.0010892,0.0010892,0.0010892
48,244.393,1.04884,1.17462,0.56153,0.65852,1.05405,0.88916,0.82143,0.88386,0.52492,0.9292,0.85714,0.95759,0.83453,1.57084,1.23234,0.34914,0.81007,1.27738,0.0010694,0.0010694,0.0010694
49,247.97,0.99847,1.04923,0.52153,0.62781,1.01498,0.86696,0.85714,0.86847,0.52844,0.94714,0.92857,0.97724,0.83075,1.56081,1.22756,0.34947,0.8251,1.27116,0.0010496,0.0010496,0.0010496
50,252.076,1.05261,0.85882,0.51969,0.60856,1.0054,0.87437,0.78571,0.86644,0.56062,0.95648,0.85714,0.97314,0.85058,1.41528,1.20531,0.34895,0.8051,1.21696,0.0010298,0.0010298,0.0010298
51,256.532,0.96298,0.95668,0.51175,0.61996,1.03354,0.83067,0.85714,0.87015,0.57517,0.9047,0.92857,0.97553,0.86912,1.31969,1.15841,0.34272,0.80414,1.17668,0.00101,0.00101,0.00101
52,261.187,0.95465,0.99759,0.48608,0.60194,0.98743,0.82899,0.85714,0.87473,0.59215,0.91239,0.92857,0.97765,0.86626,1.33628,1.14232,0.33348,0.80635,1.1829,0.0009902,0.0009902,0.0009902
53,264.277,1.03141,1.09565,0.5613,0.63818,1.041,0.85996,0.87758,0.8686,0.58419,0.92895,0.93407,0.97195,0.82496,1.33055,1.13882,0.32944,0.7992,1.17475,0.0009704,0.0009704,0.0009704
54,269.196,0.93762,1.12922,0.46959,0.62368,0.97132,0.82951,0.86911,0.85942,0.55162,0.89742,0.93752,0.96835,0.86829,1.3577,1.07273,0.33054,0.76621,1.16329,0.0009506,0.0009506,0.0009506
55,272.898,0.99732,0.98039,0.53226,0.63736,1.04783,0.83409,0.89788,0.85679,0.51514,0.90003,0.96459,0.97417,0.87811,1.44742,1.03275,0.3336,0.77317,1.18738,0.0009308,0.0009308,0.0009308
56,276.555,1.02911,0.88477,0.49167,0.64256,1.0032,0.82827,0.92857,0.84682,0.49854,0.89321,1,0.97637,0.89448,1.47436,1.03903,0.33232,0.79103,1.21528,0.000911,0.000911,0.000911
57,280.456,1.09606,1.00574,0.52598,0.65497,1.04978,0.88282,0.92857,0.87084,0.53729,0.95953,1,0.99259,0.89281,1.45484,1.04998,0.32972,0.81716,1.24477,0.0008912,0.0008912,0.0008912
58,285.468,0.96085,0.98168,0.48108,0.61435,1.01084,0.83866,0.92823,0.86474,0.56707,0.90285,0.99588,0.98185,0.86966,1.37456,1.04832,0.32913,0.80976,1.22017,0.0008714,0.0008714,0.0008714
59,289.71,1.03209,1.05887,0.47411,0.66563,1.00117,0.83065,0.92857,0.87143,0.60636,0.89583,1,0.98045,0.89578,1.29174,1.05722,0.32708,0.81384,1.19536,0.0008516,0.0008516,0.0008516
60,292.823,1.08526,1.07645,0.52913,0.6963,1.15264,0.83843,0.92668,0.86932,0.57952,0.90295,0.99689,0.98045,0.88357,1.24876,1.06458,0.32657,0.764,1.17134,0.0008318,0.0008318,0.0008318
61,296.009,0.95261,0.87692,0.46823,0.59249,0.97795,0.91946,0.81564,0.86761,0.57886,1,0.88139,0.98645,0.87924,1.23213,1.07882,0.32612,0.75582,1.16497,0.000812,0.000812,0.000812
62,300.848,0.90903,0.79513,0.45589,0.56579,0.98309,0.8607,0.88294,0.8668,0.56669,0.93035,0.95437,0.9814,0.87356,1.27676,1.05979,0.32779,0.78264,1.18706,0.0007922,0.0007922,0.0007922
63,304.485,1.01809,0.9311,0.52438,0.58082,0.99998,0.83455,0.92857,0.86999,0.55107,0.89979,1,0.98035,0.90263,1.37431,1.03149,0.3242,0.76806,1.23443,0.0007724,0.0007724,0.0007724
64,308.453,1.0074,0.9843,0.47561,0.71861,1.00513,0.83251,0.92857,0.88374,0.54526,0.89703,1,0.98823,0.90243,1.432,1.00869,0.3221,0.79829,1.23308,0.0007526,0.0007526,0.0007526
65,311.621,0.92673,0.95643,0.50381,0.5941,0.97693,0.92469,0.87738,0.89137,0.55102,1,0.9479,0.993,0.87457,1.42775,0.98719,0.31521,0.82031,1.22435,0.0007328,0.0007328,0.0007328
66,315.631,0.90834,0.93463,0.47948,0.56747,1.00205,0.86498,0.91549,0.89494,0.57635,0.93171,0.97477,0.993,0.86823,1.33118,0.98985,0.31669,0.7994,1.17673,0.000713,0.000713,0.000713
67,319.697,0.89451,0.80079,0.48197,0.57875,0.98541,0.85983,0.92857,0.8973,0.59284,0.95721,0.96429,0.993,0.88394,1.26945,0.98599,0.31605,0.77256,1.15577,0.0006932,0.0006932,0.0006932
68,323.08,0.92639,0.8528,0.49937,0.5609,0.98801,0.96291,0.92733,0.94804,0.60824,0.96291,0.92733,0.96804,0.88215,1.21782,0.98324,0.316,0.77083,1.13919,0.0006734,0.0006734,0.0006734
